,Primary Tumor,Metastasis,Benign Nevus,Metastasis - Primary,Tumor - Normal
RSL24D1P1,3.0,3.0,3.0,0.0,0.0
TUNAR,3.0,3.0,3.0,0.0,0.0
TH2LCRR,3.0,3.0,3.0,0.0,0.0
ACTC1,3.0,3.0,3.0,0.0,0.0
RPS20P22,3.0,3.0,3.0,0.0,0.0
SMCR2,3.0,3.0,3.0,0.0,0.0
RPL35P6,3.0,3.0,3.0,0.0,0.0
TFDP3,3.0,3.0,3.0,0.0,0.0
RPL23AP86,3.0,3.0,3.0,0.0,0.0
CDCA4P1,3.0,3.0,3.0,0.0,0.0
UNC93B3,3.0,3.0,3.0,0.0,0.0
IGBP1-AS1,3.0,3.0,3.0,0.0,0.0
ZRANB2-AS1,3.0,3.0,3.0,0.0,0.0
HRASLS2,3.0,3.0,3.0,0.0,0.0
KBTBD11-OT1,3.0,3.0,3.0,0.0,0.0
SLC25A36P1,3.0,3.0,3.0,0.0,0.0
NEUROG2,3.0,3.0,3.0,0.0,0.0
GCSAML-AS1,3.0,3.0,3.0,0.0,0.0
VCAN-AS1,3.0,3.0,3.0,0.0,0.0
ARF4P2,3.0,3.0,3.0,0.0,0.0
NUTF2P6,3.0,3.0,3.0,0.0,0.0
HMGB1P17,3.0,3.0,3.0,0.0,0.0
YWHAEP1,3.0,3.0,3.0,0.0,0.0
UBE2L4,3.0,3.0,3.0,0.0,0.0
CYP17A1-AS1,3.0,3.0,3.0,0.0,0.0
MED4-AS1,3.0,3.0,3.0,0.0,0.0
RPS12P21,3.0,3.0,3.0,0.0,0.0
TRIM51GP,3.0,3.0,3.0,0.0,0.0
PPP1R2P1,3.0,3.0,3.0,0.0,0.0
RPS19P3,3.0,3.0,3.0,0.0,0.0
RN7SL368P,3.0,3.0,3.0,0.0,0.0
KIAA0196-AS1,3.0,3.0,3.0,0.0,0.0
MTND6P4,3.0,3.0,3.0,0.0,0.0
PRSS44,3.0,3.0,3.0,0.0,0.0
BTF3L4P3,3.0,3.0,3.0,0.0,0.0
ZFHX4-AS1,3.0,3.0,3.0,0.0,0.0
RRM2P3,3.0,3.0,3.0,0.0,0.0
PPIAP9,3.0,3.0,3.0,0.0,0.0
SCGB2A2,3.0,3.0,3.0,0.0,0.0
BARHL2,3.0,3.0,3.0,0.0,0.0
LYPLA1P3,3.0,3.0,3.0,0.0,0.0
RNF185-AS1,3.0,3.0,3.0,0.0,0.0
TPSG1,3.0,3.0,3.0,0.0,0.0
SCARNA13,3.0,3.0,3.0,0.0,0.0
C20orf141,3.0,3.0,3.0,0.0,0.0
LENEP,3.0,3.0,3.0,0.0,0.0
KRTAP5-1,3.0,3.0,3.0,0.0,0.0
VN1R105P,3.0,3.0,3.0,0.0,0.0
ZNF321P,3.0,3.0,3.0,0.0,0.0
CRYBA4,3.0,3.0,3.0,0.0,0.0
NCBP2-AS1,3.0,3.0,3.0,0.0,0.0
RNF138P1,3.0,3.0,3.0,0.0,0.0
RPS19P1,3.0,3.0,3.0,0.0,0.0
ACCSL,3.0,3.0,3.0,0.0,0.0
GAPDHP27,3.0,3.0,3.0,0.0,0.0
FTLP2,3.0,3.0,3.0,0.0,0.0
GCNT1P3,3.0,3.0,3.0,0.0,0.0
UGT2B17,3.0,3.0,3.0,0.0,0.0
HEPHL1,3.0,3.0,3.0,0.0,0.0
PCP4L1,3.0,3.0,3.0,0.0,0.0
CPA3,3.0,3.0,3.0,0.0,0.0
RPL21P133,3.0,3.0,3.0,0.0,0.0
MYOZ2,3.0,3.0,3.0,0.0,0.0
IGLCOR22-1,3.0,3.0,3.0,0.0,0.0
CCDC169-SOHLH2,3.0,3.0,3.0,0.0,0.0
CACNG4,3.0,3.0,3.0,0.0,0.0
BOLA3P3,3.0,3.0,3.0,0.0,0.0
MANSC4,3.0,3.0,3.0,0.0,0.0
GK-AS1,3.0,3.0,3.0,0.0,0.0
EBAG9P1,3.0,3.0,3.0,0.0,0.0
RPS15P5,3.0,3.0,3.0,0.0,0.0
RPL23AP66,3.0,3.0,3.0,0.0,0.0
OR51B4,3.0,3.0,3.0,0.0,0.0
HCG4P8,3.0,3.0,3.0,0.0,0.0
RPL23AP57,3.0,3.0,3.0,0.0,0.0
TSSC1-IT1,3.0,3.0,3.0,0.0,0.0
ETV5-AS1,3.0,3.0,3.0,0.0,0.0
HIST1H2APS4,3.0,3.0,3.0,0.0,0.0
RPL36AP15,3.0,3.0,3.0,0.0,0.0
OR7E28P,3.0,3.0,3.0,0.0,0.0
DIRC1,3.0,3.0,3.0,0.0,0.0
RPS5P2,3.0,3.0,3.0,0.0,0.0
SCGB3A1,3.0,3.0,3.0,0.0,0.0
