,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
PDZK1IP1,3.0000000204890966,3.000000017695129,2.9999999949131313,-2.7939677238464355e-09,2.4178981483657935e-08
CSAG3,3.0000000204114863,2.999999993099967,3.000000000043136,-2.731151926838038e-08,6.712590483459735e-09
LCE5A,3.0000000192970524,3.0000000125794353,2.999999995803423,-6.717617129226028e-09,2.013482047757975e-08
ANXA8,3.0000000190145024,3.0000000129881372,2.9999999980285823,-6.0263651846526045e-09,1.7972737520466353e-08
MIA,3.0000000186264515,2.999999992649856,2.9999999955926118,-2.597659554126608e-08,1.0045542175873834e-08
SERPINB3,3.0000000182772055,2.999999993900037,2.999999999053025,-2.43771687280514e-08,7.035596105708919e-09
UBD,3.0000000175445662,2.9999999935706896,3.0000000027569764,-2.3973876661642635e-08,2.800651710543889e-09
SERPINB7,3.000000017384688,3.0000000046872684,2.9999999904989445,-1.2697419560225853e-08,2.0537033851297792e-08
UGT1A7,3.0000000167638063,3.0000000005295755,2.9999999999217377,-1.6234230848510833e-08,8.724953204364283e-09
MAGEA3,3.000000016047428,3.0000000033229366,3.000000000368292,-1.2724491238458313e-08,9.316890370314468e-09
CXCL10,3.000000015487482,3.0000000053731553,3.0000000092991517,-1.01143267094983e-08,1.1311671599401052e-09
PLA2G2D,3.000000014901161,3.0000000003865863,3.0000000006818612,-1.4514574875335029e-08,6.962012744082813e-09
LMO1,3.000000014726538,2.9999999974742084,3.0000000015662263,-1.7252329786998644e-08,4.5341472798554605e-09
LCE1A,3.0000000141020187,3.0000000061974132,2.9999999985467194,-7.904605414665866e-09,1.1602996341508742e-08
KRTAP4-7,3.0000000136593976,3.0000000144491024,3.0000000097199924,7.897047460403428e-10,4.334257841520639e-09
PRSS3,3.0000000129609057,3.000000000221312,3.0000000024789615,-1.2739593824306894e-08,4.11214751139255e-09
COL17A1,3.0000000128056854,2.9999999967449362,2.9999999933007384,-1.6060749175039746e-08,1.1474572403358252e-08
LCE1B,3.0000000113832357,3.0000000044118407,3.0000000099648902,-6.971395016819315e-09,-2.067352067314232e-09
PRSS2,3.0000000113698966,3.0000000131811464,3.000000003414931,1.8112498167965896e-09,8.860590483550368e-09
CXCL13,3.0000000104338747,2.999999986949429,3.000000006118828,-2.348444549937767e-08,-7.42717620738631e-09
GJB6,3.0000000102445483,3.000000002941512,3.000000005044012,-7.303036397843243e-09,1.5490182470045966e-09
KLK11,3.0000000099341073,2.9999999969234112,3.0000000028487515,-1.3010696076065642e-08,5.800080415951925e-10
XAGE1A,3.000000009313576,3.0000000155166218,3.0000000066798793,6.203045632702242e-09,5.735219854585694e-09
GAGE1,3.0000000088936454,3.000000008798987,3.0000000024711966,-9.465850325796055e-11,6.375119543378105e-09
CIDEA,3.0000000084983185,2.999999997652719,3.0000000067031745,-1.0845599529574201e-08,-3.6276559534087482e-09
FGF5,3.000000008226683,3.0000000253118437,3.0000000007927126,1.7085160841645575e-08,1.5976550749030594e-08
NLGN4Y,3.0000000074505806,3.0000000186743874,2.9999999939855346,1.1223806772875378e-08,1.907694935354698e-08
KRT79,3.0000000064737073,3.000000000296901,3.0000000148271555,-6.176806177649041e-09,-1.144185102219808e-08
CCL19,3.0000000060875514,2.999999991520179,3.0000000013869297,-1.4567372197404893e-08,-2.5830644290181226e-09
CXCL14,3.0000000060535967,2.999999991895974,2.999999999919995,-1.4157622629795696e-08,-9.452096882966998e-10
