,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
SLC2A3P1,3.0,3.0,3.0,0.0,0.0
EDN2,3.0,3.0,3.0,0.0,0.0
RP11-1143G9.4,3.0,3.0,3.0,0.0,0.0
RP11-374M1.11,3.0,3.0,3.0,0.0,0.0
RSC1A1,3.0,3.0,3.0,0.0,0.0
PNPLA1,3.0,3.0,3.0,0.0,0.0
RP11-293I14.2,3.0,3.0,3.0,0.0,0.0
SLC25A48,3.0,3.0,3.0,0.0,0.0
EPHX3,3.0,3.0,3.0,0.0,0.0
ANKRD20A19P,3.0,3.0,3.0,0.0,0.0
LUZP6,3.0,3.0,3.0,0.0,0.0
TMPRSS11F,3.0,3.0,3.0,0.0,0.0
RP11-464C19.3,3.0,3.0,3.0,0.0,0.0
RP11-521B24.5,3.0,3.0,3.0,0.0,0.0
RP11-972P1.10,3.0,3.0,3.0,0.0,0.0
PI4K2B,3.0,3.0,3.0,0.0,0.0
RP11-469H8.6,3.0,3.0,3.0,0.0,0.0
CTD-2008P7.9,3.0,3.0,3.0,0.0,0.0
RP11-599B13.6,3.0,3.0,3.0,0.0,0.0
IGHG2,3.0,3.0,3.0,0.0,0.0
TRBV27,3.0,3.0,3.0,0.0,0.0
RP11-498C9.13,3.0,3.0,3.0,0.0,0.0
AL590762.10,3.0,3.0,3.0,0.0,0.0
RPS20P10,3.0,3.0,3.0,0.0,0.0
RP11-392E22.5,3.0,3.0,3.0,0.0,0.0
RP6-65G23.5,3.0,3.0,3.0,0.0,0.0
NAV2-AS1,3.0,3.0,3.0,0.0,0.0
RP11-259G18.3,3.0,3.0,3.0,0.0,0.0
TRBV12-3,3.0,3.0,3.0,0.0,0.0
RP11-206L10.5,3.0,3.0,3.0,0.0,0.0
RP11-524H19.2,3.0,3.0,3.0,0.0,0.0
RP11-576C2.1,3.0,3.0,3.0,0.0,0.0
PHGR1,3.0,3.0,3.0,0.0,0.0
